Id,SalePrice
1461,110186.15650056799
1462,145176.43902627632
1463,170663.78274968712
1464,185615.03167977562
1465,182481.4372891529
1466,158594.2931470884
1467,169285.04285393175
1468,150963.70289946097
1469,177225.71764171918
1470,111072.73879373803
1471,162335.59589003806
1472,91591.91905940927
1473,88287.29273481881
1474,134708.8230543694
1475,107336.00872978236
1476,334122.331949873
1477,229097.63465286884
1478,269935.40577905066
1479,268392.8148501875
1480,512061.75790028484
1481,311201.6642688651
1482,186906.67132762313
1483,163083.0749508969
1484,151629.42539688598
1485,167873.00090175902
1486,176280.52192498106
1487,315088.79789834475
1488,213320.43294419357
1489,180429.89571669407
1490,224586.8383356994
1491,177681.89143048172
1492,85394.67217681727
1493,171063.0101113711
1494,265884.4155310418
1495,262097.17450402002
1496,214616.6440472448
1497,169811.69573428237
1498,175147.56742911515
1499,153225.01366068065
1500,146546.21795005415
1501,168395.86815918545
1502,143222.45836055712
1503,354131.77465238544
1504,225596.01998436011
1505,212348.59968826294
1506,177277.20025656561
1507,240077.2449296854
1508,180756.7166127519
1509,149393.30855866955
1510,134111.24136231682
1511,155097.2924278805
1512,162519.0466188558
1513,130987.30347486529
1514,149981.8437247611
1515,187603.11849607422
1516,133853.0521919692
1517,160524.108071854
1518,121216.83383856561
1519,199268.72589219754
1520,118093.49744872762
1521,123064.20258522255
1522,161629.44232811406
1523,107529.06746467401
1524,111718.65149249302
1525,113449.89606735088
1526,101946.06338910013
1527,102225.31740479317
1528,127411.02754723343
1529,145671.09599056654
1530,183399.72045501287
1531,102659.08424589287
1532,85705.67881979943
1533,139283.72210857572
1534,134963.2182209884
1535,132285.34035423695
1536,98645.51827403142
1537,62852.285658358785
1538,140548.87215666482
1539,167963.24985924116
1540,78777.03525045684
1541,123147.29231314476
1542,138626.33834983534
1543,168091.41343326072
1544,92058.40727694961
1545,106910.5105217382
1546,125439.89062932468
1547,122118.39254417401
1548,126408.48466274263
1549,112334.02253247003
1550,125234.57910669032
1551,96708.79540525726
1552,128161.83903395281
1553,124388.08196307636
1554,113152.75879480226
1555,148168.5423615306
1556,86688.0290872902
1557,101812.01151178818
1558,100315.73368282994
1559,64736.823219292
1560,119023.7486617892
1561,110388.66152583406
1562,121612.92366208657
1563,113538.65040272429
1564,151331.0220056939
1565,136707.84576162632
1566,211689.74455874113
1567,74390.4039861988
1568,217461.22868141654
1569,123203.61979988206
1570,122545.56431799683
1571,124414.70612511896
1572,131411.00762424344
1573,225563.26615119024
1574,111095.32533707492
1575,218781.0599549767
1576,225931.53279699458
1577,162440.08736268687
1578,130465.08879811378
1579,136608.35172052827
1580,178875.97796200914
1581,144786.7300963134
1582,116942.11363269995
1583,280712.8513341546
1584,203710.73704519507
1585,128517.1209552376
1586,76885.5558930079
1587,103367.48514547815
1588,138351.20082737162
1589,92450.01437776131
1590,124818.68051542756
1591,87337.87910895063
1592,110463.02244522408
1593,117030.41441567193
1594,122646.14274074446
1595,98819.71886895937
1596,206256.72952635706
1597,188027.80798022915
1598,206480.14714290478
1599,148600.30748064021
1600,139390.44850295098
1601,76937.1007675754
1602,107481.04684053027
1603,59085.49567195969
1604,246134.04663308786
1605,214186.1170816049
1606,153972.2095076743
1607,177859.71486401005
1608,192888.85159710556
1609,169681.62331079363
1610,143193.49451954864
1611,121870.49421845035
1612,158580.64551634726
1613,153305.3821928337
1614,105036.6740552014
1615,82868.30427317534
1616,72740.66907540194
1617,84641.41950468451
1618,130448.58047158975
1619,132281.56804192348
1620,147235.27103428723
1621,125038.17490840606
1622,134447.80462351962
1623,242719.59454799673
1624,193900.1458476618
